Class,International Roughness Index,State,System,Value
Total (miles),,United States,Overall,"806,413.9"
Total (miles),,Alabama,Overall,"21,763.8"
Total (miles),,Alaska,Overall,"3,661.2"
Total (miles),,Arizona,Overall,"16,564.8"
Total (miles),,Arkansas,Overall,"17,085.4"
Total (miles),,California,Overall,"26,014.3"
Total (miles),,Colorado,Overall,"16,187.4"
Total (miles),,Connecticut,Overall,"6,392.7"
Total (miles),,Delaware,Overall,"1,576.7"
Total (miles),,District of Columbia,Overall,433.1
Total (miles),,Florida,Overall,"27,297.9"
Total (miles),,Georgia,Overall,"30,148.2"
Total (miles),,Hawaii,Overall,"1,547.5"
Total (miles),,Idaho,Overall,"4,914.0"
Total (miles),,Illinois,Overall,"31,355.6"
Total (miles),,Indiana,Overall,"9,062.5"
Total (miles),,Iowa,Overall,"5,104.7"
Total (miles),,Kansas,Overall,"13,619.4"
Total (miles),,Kentucky,Overall,"13,622.9"
Total (miles),,Louisiana,Overall,"14,343.8"
Total (miles),,Maine,Overall,"6,312.9"
Total (miles),,Maryland,Overall,"8,167.0"
Total (miles),,Massachusetts,Overall,"4,996.2"
Total (miles),,Michigan,Overall,"27,994.9"
Total (miles),,Minnesota,Overall,"32,882.8"
Total (miles),,Mississippi,Overall,"21,748.1"
Total (miles),,Missouri,Overall,"30,836.7"
Total (miles),,Montana,Overall,"12,810.0"
Total (miles),,Nebraska,Overall,"9,988.9"
Total (miles),,Nevada,Overall,"7,523.1"
Total (miles),,New Hampshire,Overall,"3,622.8"
Total (miles),,New Jersey,Overall,"3,842.6"
Total (miles),,New Mexico,Overall,"12,006.6"
Total (miles),,New York,Overall,"27,214.2"
Total (miles),,North Carolina,Overall,"23,188.9"
Total (miles),,North Dakota,Overall,"14,291.9"
Total (miles),,Ohio,Overall,"29,819.9"
Total (miles),,Oklahoma,Overall,"24,576.7"
Total (miles),,Oregon,Overall,"8,665.7"
Total (miles),,Pennsylvania,Overall,"27,158.3"
Total (miles),,Rhode Island,Overall,"1,722.7"
Total (miles),,South Carolina,Overall,"19,496.8"
Total (miles),,South Dakota,Overall,"10,149.4"
Total (miles),,Tennessee,Overall,"4,988.4"
Total (miles),,Texas,Overall,"88,812.6"
Total (miles),,Utah,Overall,"7,099.7"
Total (miles),,Vermont,Overall,788.1
Total (miles),,Virginia,Overall,"17,992.9"
Total (miles),,Washington,Overall,"19,834.5"
Total (miles),,West Virginia,Overall,"3,219.8"
Total (miles),,Wisconsin,Overall,"24,542.8"
Total (miles),,Wyoming,Overall,"6,268.3"
Total (miles),,Puerto Rico,Overall,"3,153.7"
Acceptable (miles),,United States,Overall,"654,434.6"
Acceptable (miles),,Alabama,Overall,"19,929.1"
Acceptable (miles),,Alaska,Overall,"2,839.1"
Acceptable (miles),,Arizona,Overall,"12,299.3"
Acceptable (miles),,Arkansas,Overall,"14,106.6"
Acceptable (miles),,California,Overall,"18,721.0"
Acceptable (miles),,Colorado,Overall,"12,313.9"
Acceptable (miles),,Connecticut,Overall,"4,476.8"
Acceptable (miles),,Delaware,Overall,"1,328.0"
Acceptable (miles),,District of Columbia,Overall,36.7
Acceptable (miles),,Florida,Overall,"23,786.2"
Acceptable (miles),,Georgia,Overall,"28,191.6"
Acceptable (miles),,Hawaii,Overall,942.6
Acceptable (miles),,Idaho,Overall,"4,607.8"
Acceptable (miles),,Illinois,Overall,"25,218.7"
Acceptable (miles),,Indiana,Overall,"8,825.2"
Acceptable (miles),,Iowa,Overall,"4,658.7"
Acceptable (miles),,Kansas,Overall,"13,100.7"
Acceptable (miles),,Kentucky,Overall,"12,380.8"
Acceptable (miles),,Louisiana,Overall,"10,618.0"
Acceptable (miles),,Maine,Overall,"5,263.3"
Acceptable (miles),,Maryland,Overall,"5,821.7"
Acceptable (miles),,Massachusetts,Overall,"3,711.0"
Acceptable (miles),,Michigan,Overall,"23,554.0"
Acceptable (miles),,Minnesota,Overall,"29,772.7"
Acceptable (miles),,Mississippi,Overall,"15,256.5"
Acceptable (miles),,Missouri,Overall,"23,286.6"
Acceptable (miles),,Montana,Overall,"11,426.6"
Acceptable (miles),,Nebraska,Overall,"9,251.2"
Acceptable (miles),,Nevada,Overall,"6,415.7"
Acceptable (miles),,New Hampshire,Overall,"3,007.3"
Acceptable (miles),,New Jersey,Overall,"3,151.0"
Acceptable (miles),,New Mexico,Overall,"8,047.8"
Acceptable (miles),,New York,Overall,"20,527.2"
Acceptable (miles),,North Carolina,Overall,"20,319.7"
Acceptable (miles),,North Dakota,Overall,"13,338.6"
Acceptable (miles),,Ohio,Overall,"25,543.1"
Acceptable (miles),,Oklahoma,Overall,"17,970.5"
Acceptable (miles),,Oregon,Overall,"7,700.8"
Acceptable (miles),,Pennsylvania,Overall,"19,726.3"
Acceptable (miles),,Rhode Island,Overall,951.8
Acceptable (miles),,South Carolina,Overall,"15,694.5"
Acceptable (miles),,South Dakota,Overall,"9,652.4"
Acceptable (miles),,Tennessee,Overall,"4,691.8"
Acceptable (miles),,Texas,Overall,"68,187.3"
Acceptable (miles),,Utah,Overall,"6,295.8"
Acceptable (miles),,Vermont,Overall,747.6
Acceptable (miles),,Virginia,Overall,"14,884.9"
Acceptable (miles),,Washington,Overall,"13,956.7"
Acceptable (miles),,West Virginia,Overall,"2,954.1"
Acceptable (miles),,Wisconsin,Overall,"18,436.1"
Acceptable (miles),,Wyoming,Overall,"5,947.5"
Acceptable (miles),,Puerto Rico,Overall,561.7
Percent Acceptable,,United States,Overall,81.2
Percent Acceptable,,Alabama,Overall,91.6
Percent Acceptable,,Alaska,Overall,77.5
Percent Acceptable,,Arizona,Overall,74.2
Percent Acceptable,,Arkansas,Overall,82.6
Percent Acceptable,,California,Overall,72.0
Percent Acceptable,,Colorado,Overall,76.1
Percent Acceptable,,Connecticut,Overall,70.0
Percent Acceptable,,Delaware,Overall,84.2
Percent Acceptable,,District of Columbia,Overall,8.5
Percent Acceptable,,Florida,Overall,87.1
Percent Acceptable,,Georgia,Overall,93.5
Percent Acceptable,,Hawaii,Overall,60.9
Percent Acceptable,,Idaho,Overall,93.8
Percent Acceptable,,Illinois,Overall,80.4
Percent Acceptable,,Indiana,Overall,97.4
Percent Acceptable,,Iowa,Overall,91.3
Percent Acceptable,,Kansas,Overall,96.2
Percent Acceptable,,Kentucky,Overall,90.9
Percent Acceptable,,Louisiana,Overall,74.0
Percent Acceptable,,Maine,Overall,83.4
Percent Acceptable,,Maryland,Overall,71.3
Percent Acceptable,,Massachusetts,Overall,74.3
Percent Acceptable,,Michigan,Overall,84.1
Percent Acceptable,,Minnesota,Overall,90.5
Percent Acceptable,,Mississippi,Overall,70.2
Percent Acceptable,,Missouri,Overall,75.5
Percent Acceptable,,Montana,Overall,89.2
Percent Acceptable,,Nebraska,Overall,92.6
Percent Acceptable,,Nevada,Overall,85.3
Percent Acceptable,,New Hampshire,Overall,83.0
Percent Acceptable,,New Jersey,Overall,82.0
Percent Acceptable,,New Mexico,Overall,67.0
Percent Acceptable,,New York,Overall,75.4
Percent Acceptable,,North Carolina,Overall,87.6
Percent Acceptable,,North Dakota,Overall,93.3
Percent Acceptable,,Ohio,Overall,85.7
Percent Acceptable,,Oklahoma,Overall,73.1
Percent Acceptable,,Oregon,Overall,88.9
Percent Acceptable,,Pennsylvania,Overall,72.6
Percent Acceptable,,Rhode Island,Overall,55.3
Percent Acceptable,,South Carolina,Overall,80.5
Percent Acceptable,,South Dakota,Overall,95.1
Percent Acceptable,,Tennessee,Overall,94.1
Percent Acceptable,,Texas,Overall,76.8
Percent Acceptable,,Utah,Overall,88.7
Percent Acceptable,,Vermont,Overall,94.9
Percent Acceptable,,Virginia,Overall,82.7
Percent Acceptable,,Washington,Overall,70.4
Percent Acceptable,,West Virginia,Overall,91.8
Percent Acceptable,,Wisconsin,Overall,75.1
Percent Acceptable,,Wyoming,Overall,94.9
Percent Acceptable,,Puerto Rico,Overall,17.8
Urban (miles),Less than 60,United States,Other principal arterials,"7,511.1"
Urban (miles),Less than 60,Alabama,Other principal arterials,454.4
Urban (miles),Less than 60,Alaska,Other principal arterials,24.2
Urban (miles),Less than 60,Arizona,Other principal arterials,48.9
Urban (miles),Less than 60,Arkansas,Other principal arterials,102.6
Urban (miles),Less than 60,California,Other principal arterials,132.3
Urban (miles),Less than 60,Colorado,Other principal arterials,59.0
Urban (miles),Less than 60,Connecticut,Other principal arterials,21.3
Urban (miles),Less than 60,Delaware,Other principal arterials,35.4
Urban (miles),Less than 60,District of Columbia,Other principal arterials,0.0
Urban (miles),Less than 60,Florida,Other principal arterials,961.3
Urban (miles),Less than 60,Georgia,Other principal arterials,641.8
Urban (miles),Less than 60,Hawaii,Other principal arterials,28.0
Urban (miles),Less than 60,Idaho,Other principal arterials,60.1
Urban (miles),Less than 60,Illinois,Other principal arterials,300.3
Urban (miles),Less than 60,Indiana,Other principal arterials,356.0
Urban (miles),Less than 60,Iowa,Other principal arterials,96.7
Urban (miles),Less than 60,Kansas,Other principal arterials,60.9
Urban (miles),Less than 60,Kentucky,Other principal arterials,150.3
Urban (miles),Less than 60,Louisiana,Other principal arterials,94.8
