"Geographic Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Not Staying at Home","Population Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 250-500","Number of Trips 100-250","Number of Trips >=500","Row ID","Week","Month"
"County","2024/01/02","21","KY","21071","Floyd County","29,252","6,337","160,218","24,463","39,383","23,610","33,321","29,982","5,727","1,553","80","2,093","6","21-21071-20240102","0","1"
"County","2024/01/02","21","KY","21073","Franklin County","40,732","10,259","239,661","71,781","62,988","29,920","30,529","25,796","14,001","3,198","98","1,269","81","21-21073-20240102","0","1"
"County","2024/01/02","21","KY","21075","Fulton County","5,046","923","30,261","9,126","7,336","1,714","2,417","6,636","2,242","593","20","169","8","21-21075-20240102","0","1"
"County","2024/01/02","21","KY","21077","Gallatin County","7,444","1,425","43,241","8,479","8,388","7,685","5,340","8,766","4,036","276","37","230","4","21-21077-20240102","0","1"
"County","2024/01/02","21","KY","21079","Garrard County","14,885","2,781","74,874","10,337","13,767","12,590","13,084","17,478","5,746","1,244","28","576","24","21-21079-20240102","0","1"
"County","2024/01/02","21","KY","21081","Grant County","20,864","4,205","109,787","18,776","21,708","15,952","21,498","19,536","10,391","1,258","72","570","26","21-21081-20240102","0","1"
"County","2024/01/02","21","KY","21083","Graves County","31,479","5,787","174,626","36,124","37,376","21,721","27,856","33,718","14,960","1,566","88","1,194","23","21-21083-20240102","0","1"
"County","2024/01/02","21","KY","21085","Grayson County","22,120","4,307","118,532","22,426","26,428","15,887","19,204","20,042","10,492","3,189","74","750","40","21-21085-20240102","0","1"
"County","2024/01/02","21","KY","21087","Green County","9,093","1,848","51,120","11,320","8,981","6,149","9,543","10,699","3,150","888","11","377","2","21-21087-20240102","0","1"
"County","2024/01/02","21","KY","21089","Greenup County","27,565","7,533","142,950","32,959","34,847","19,193","23,209","24,490","5,561","1,563","90","999","39","21-21089-20240102","0","1"
"County","2024/01/02","21","KY","21091","Hancock County","7,440","1,282","39,389","6,012","8,484","6,591","7,056","7,801","2,449","619","0","368","9","21-21091-20240102","0","1"
"County","2024/01/02","21","KY","21093","Hardin County","88,561","22,397","490,618","122,250","114,535","60,885","83,355","69,694","28,440","7,957","793","2,425","284","21-21093-20240102","0","1"
"County","2024/01/02","21","KY","21095","Harlan County","20,249","5,761","111,891","23,388","31,268","17,026","18,825","11,854","5,606","2,552","74","1,293","5","21-21095-20240102","0","1"
"County","2024/01/02","21","KY","21097","Harrison County","15,989","2,897","95,757","20,653","20,840","9,491","13,087","21,350","7,751","1,774","66","730","15","21-21097-20240102","0","1"
"County","2024/01/02","21","KY","21099","Hart County","16,046","2,989","84,023","15,793","15,924","10,942","15,535","15,654","7,360","2,365","65","357","28","21-21099-20240102","0","1"
"County","2024/01/02","21","KY","21101","Henderson County","36,784","8,426","221,153","55,712","49,245","27,534","35,817","40,006","9,352","2,369","112","977","29","21-21101-20240102","0","1"
"County","2024/01/02","21","KY","21103","Henry County","13,605","2,521","72,902","14,073","14,426","9,759","10,178","17,166","5,593","1,030","155","484","38","21-21103-20240102","0","1"
"County","2024/01/02","21","KY","21105","Hickman County","3,803","577","19,991","3,075","2,329","3,229","5,020","3,714","2,195","360","1","68","0","21-21105-20240102","0","1"
"County","2024/01/02","21","KY","21107","Hopkins County","35,990","8,696","214,427","51,276","43,657","30,143","37,338","33,101","11,268","6,013","114","1,478","39","21-21107-20240102","0","1"
"County","2024/01/02","21","KY","21109","Jackson County","11,387","1,942","61,789","8,239","15,209","8,290","7,867","15,138","5,650","1,221","39","134","2","21-21109-20240102","0","1"
"County","2024/01/02","21","KY","21111","Jefferson County","595,212","171,545","3,346,864","1,011,592","753,255","400,219","561,737","493,162","71,059","30,911","3,192","18,274","3,463","21-21111-20240102","0","1"
"County","2024/01/02","21","KY","21113","Jessamine County","43,351","10,764","227,870","53,400","51,595","28,512","42,799","40,042","7,742","2,252","179","1,221","128","21-21113-20240102","0","1"
"County","2024/01/02","21","KY","21115","Johnson County","16,930","5,258","79,886","14,801","20,451","9,801","13,433","13,156","4,979","2,056","58","1,143","8","21-21115-20240102","0","1"
"County","2024/01/02","21","KY","21117","Kenton County","134,348","32,650","761,427","199,770","175,903","93,960","142,687","115,005","23,915","6,218","714","2,830","425","21-21117-20240102","0","1"
"County","2024/01/02","21","KY","21119","Knott County","11,547","3,259","56,363","6,757","11,530","8,019","9,186","15,901","4,120","595","0","255","0","21-21119-20240102","0","1"
"County","2024/01/02","21","KY","21121","Knox County","25,288","5,857","133,227","27,623","33,418","17,994","19,098","25,106","4,954","3,076","193","1,755","10","21-21121-20240102","0","1"
"County","2024/01/02","21","KY","21123","Larue County","11,882","2,516","59,957","13,224","9,754","7,020","9,306","13,442","4,978","1,891","56","269","17","21-21123-20240102","0","1"
"County","2024/01/02","21","KY","21125","Laurel County","49,108","11,705","260,674","54,676","62,898","33,923","51,041","39,519","9,120","6,707","280","2,451","59","21-21125-20240102","0","1"
"County","2024/01/02","21","KY","21127","Lawrence County","12,197","3,120","59,448","13,148","11,476","6,877","10,574","9,770","6,273","893","23","412","2","21-21127-20240102","0","1"
"County","2024/01/02","21","KY","21129","Lee County","6,263","1,140","31,150","4,499","8,589","3,342","6,388","4,510","2,031","1,693","12","86","0","21-21129-20240102","0","1"
"County","2024/01/02","21","KY","21131","Leslie County","8,301","1,576","38,977","4,854","7,744","4,519","7,509","10,969","1,955","1,126","27","274","0","21-21131-20240102","0","1"
"County","2024/01/02","21","KY","21133","Letcher County","17,098","4,455","87,913","15,606","24,527","13,097","15,235","12,756","4,407","1,254","23","1,004","4","21-21133-20240102","0","1"
"County","2024/01/02","21","KY","21135","Lewis County","10,212","3,063","50,199","8,619","8,258","5,865","8,427","13,483","3,837","1,171","106","425","8","21-21135-20240102","0","1"
