Series,Unit,Year,Value
All petroleum products consumed by Transportation,Billion BTUs,1960,"27,051"
All petroleum products consumed by Transportation,Billion BTUs,1970,"58,980"
All petroleum products consumed by Transportation,Billion BTUs,1980,"89,675"
All petroleum products consumed by Transportation,Billion BTUs,1990,"167,277"
All petroleum products consumed by Transportation,Billion BTUs,2000,"212,158"
All petroleum products consumed by Transportation,Billion BTUs,2010,"189,951"
All petroleum products consumed by Transportation,Billion BTUs,2015,"162,328"
All petroleum products consumed by Transportation,Billion BTUs,2016,"153,155"
All petroleum products consumed by Transportation,Billion BTUs,2017,"155,560"
All petroleum products consumed by Transportation,Billion BTUs,2018,"163,302"
All petroleum products consumed by Transportation,Billion BTUs,2019,"164,246"
All petroleum products consumed by Transportation,Billion BTUs,2020,"164,530"
All petroleum products consumed by Transportation,Billion BTUs,2021,"193,342"
All petroleum products consumed by Transportation,Billion BTUs,2022,"198,289"
All petroleum products consumed by Transportation,Billion BTUs,2023,"203,089"
Aviation gasoline consumed by Transportation,Billion BTUs,1960,"5,209"
Aviation gasoline consumed by Transportation,Billion BTUs,1970,"2,331"
Aviation gasoline consumed by Transportation,Billion BTUs,1980,"2,514"
Aviation gasoline consumed by Transportation,Billion BTUs,1990,"2,480"
Aviation gasoline consumed by Transportation,Billion BTUs,2000,"2,632"
Aviation gasoline consumed by Transportation,Billion BTUs,2010,854
Aviation gasoline consumed by Transportation,Billion BTUs,2015,"1,308"
Aviation gasoline consumed by Transportation,Billion BTUs,2016,"1,240"
Aviation gasoline consumed by Transportation,Billion BTUs,2017,"1,239"
Aviation gasoline consumed by Transportation,Billion BTUs,2018,"1,264"
Aviation gasoline consumed by Transportation,Billion BTUs,2019,"1,245"
Aviation gasoline consumed by Transportation,Billion BTUs,2020,915
Aviation gasoline consumed by Transportation,Billion BTUs,2021,"1,037"
Aviation gasoline consumed by Transportation,Billion BTUs,2022,"1,073"
Aviation gasoline consumed by Transportation,Billion BTUs,2023,"1,019"
Coal consumed by Transportation,Billion BTUs,1960,86
Coal consumed by Transportation,Billion BTUs,1970,14
Coal consumed by Transportation,Billion BTUs,1980,0
Coal consumed by Transportation,Billion BTUs,1990,0
Coal consumed by Transportation,Billion BTUs,2000,0
Coal consumed by Transportation,Billion BTUs,2010,0
Coal consumed by Transportation,Billion BTUs,2015,0
Coal consumed by Transportation,Billion BTUs,2016,0
Coal consumed by Transportation,Billion BTUs,2017,0
Coal consumed by Transportation,Billion BTUs,2018,0
Coal consumed by Transportation,Billion BTUs,2019,0
Coal consumed by Transportation,Billion BTUs,2020,0
Coal consumed by Transportation,Billion BTUs,2021,0
Coal consumed by Transportation,Billion BTUs,2022,0
Coal consumed by Transportation,Billion BTUs,2023,0
Distillate fuel oil consumed by Transportation,Billion BTUs,1960,"3,077"
Distillate fuel oil consumed by Transportation,Billion BTUs,1970,"5,823"
Distillate fuel oil consumed by Transportation,Billion BTUs,1980,"15,174"
Distillate fuel oil consumed by Transportation,Billion BTUs,1990,"35,193"
Distillate fuel oil consumed by Transportation,Billion BTUs,2000,"30,885"
Distillate fuel oil consumed by Transportation,Billion BTUs,2010,"42,688"
Distillate fuel oil consumed by Transportation,Billion BTUs,2015,"34,340"
Distillate fuel oil consumed by Transportation,Billion BTUs,2016,"26,661"
Distillate fuel oil consumed by Transportation,Billion BTUs,2017,"28,329"
Distillate fuel oil consumed by Transportation,Billion BTUs,2018,"34,353"
Distillate fuel oil consumed by Transportation,Billion BTUs,2019,"36,926"
Distillate fuel oil consumed by Transportation,Billion BTUs,2020,"30,100"
Distillate fuel oil consumed by Transportation,Billion BTUs,2021,"34,130"
Distillate fuel oil consumed by Transportation,Billion BTUs,2022,"45,885"
Distillate fuel oil consumed by Transportation,Billion BTUs,2023,"44,476"
Hydrocarbon gas liquids consumed by Transportation,Billion BTUs,1960,0
Hydrocarbon gas liquids consumed by Transportation,Billion BTUs,1970,2
Hydrocarbon gas liquids consumed by Transportation,Billion BTUs,1980,14
Hydrocarbon gas liquids consumed by Transportation,Billion BTUs,1990,22
Hydrocarbon gas liquids consumed by Transportation,Billion BTUs,2000,0
Hydrocarbon gas liquids consumed by Transportation,Billion BTUs,2010,5
