X,Y,OBJECTID,RT_UNIQUE,BEGIN_MP,END_MP,D_BEGIN_MP,D_END_MP,GOV_LEVEL,D_GOV_LEVEL,RT_DESCR,DISTRICT,D_DISTRICT,CNTY_NAME,COUNTY,RT_PREFIX,D_RT_PREFIX,RT_NUMBER,RT_SUFFIX,D_RT_SUFFIX,RT_SECTION,D_RT_SECTION,DATUM_ID,DATUM_OFFSET,START_DATE,MODIFY_DT,EXTRACT_DT,LOCATION,DESCRIPTION,COST
-9420644.992,4731755.418,1,008-KY-0008  -000,7.842,7.842,7.842,7.842,1,State Maintained Roads,RIVER RD,6,Covington,Boone,8,KY,Kentucky Route,8,,,0,Mainline,8397814,0,1997/09/11 00:00:00+00,2021/04/29 14:13:06+00,2025/07/19 12:08:17+00,Ohio River at Constance,From KY 8 in Boone County to US 50 in Ohio,5
-9442513.058,4715912.577,2,008-KY-0018  -000,0.894,0.894,0.894,0.894,1,State Maintained Roads,MCVILLE RD,6,Covington,Boone,8,KY,Kentucky Route,18,,,0,Mainline,171409,0,2020/03/26 00:00:00+00,2021/04/29 14:15:09+00,2025/07/19 12:08:17+00,Ohio River at Rabbit Hash,From KY 18 in Boone County to Indiana Route 56,5
-9351674.59,4688818.196,3,012-KY-0008  -000,13.126,13.126,13.126,13.126,1,State Maintained Roads,HEATHER RENEE FRENCH BLVD,6,Covington,Bracken,12,KY,Kentucky Route,8,,,0,Mainline,190827,0.027,1997/09/11 00:00:00+00,2021/04/29 14:14:00+00,2025/07/19 12:08:17+00,Ohio River at Augusta,From KY 8 in Bracken County to US 52 in Ohio,5
-9659919.293,4475367.05,4,016-KY-0269  -000,1.594,1.594,1.594,1.594,1,State Maintained Roads,KY-269,3,Bowling Green,Butler,16,KY,Kentucky Route,269,,,0,Mainline,8461874,0,2007/03/23 00:00:00+00,2021/04/29 14:14:38+00,2025/07/19 12:08:17+00,Green River at KY 269,On KY 269 in Butler County,0
-9672983.232,4469049.795,5,016-KY-0369  -000,0.626,0.626,0.626,0.626,1,State Maintained Roads,FERRY ST,3,Bowling Green,Butler,16,KY,Kentucky Route,369,,,0,Mainline,8460323,0.178,1997/09/11 00:00:00+00,2021/04/29 14:13:20+00,2025/07/19 12:08:17+00,Green River at Rochester,On KY 369 between Butler and Ohio Counties,0
-9814548.446,4503421.326,6,028-KY-0091  -000,15.769,15.769,15.769,15.769,1,State Maintained Roads,KY-91 N,1,Paducah,Crittenden,28,KY,Kentucky Route,91,,,0,Mainline,273027,0.837,1997/09/10 00:00:00+00,2021/04/29 14:13:30+00,2025/07/19 12:08:17+00,Ohio River at Cave-in-Rock,From KY 91 in Crittenden County to Illinois Route 1,0
-9586067.947,4464182.844,7,031-FD-0014  -000,4.194,4.194,4.194,4.194,66,National Park Service Roads,GREEN RIVER FERRY RD,3,Bowling Green,Edmonson,31,FD,Federal Agency,14,,,0,Mainline,24694509,2.184,2020/03/26 00:00:00+00,2021/04/29 14:14:54+00,2025/07/19 12:08:17+00,Green River at Mammoth Cave NP,On Green River Ferry Rd in Edmonson County,0
-9931037.285,4379030.024,8,038-KY-1354  -000,0,0,0,0,1,State Maintained Roads,KY-1354,1,Paducah,Fulton,38,KY,Kentucky Route,1354,,,0,Mainline,341962,0,1997/09/10 00:00:00+00,2021/04/29 14:13:38+00,2025/07/19 12:08:17+00,Mississippi River at Hickman,From KY 1354 in Fulton County to Missouri Route 102,14
-9399247.315,4557839.655,9,076-KY-0169  -000,12.449,12.449,12.449,12.449,1,State Maintained Roads,TATES CREEK RD,7,Lexington,Madison,76,KY,Kentucky Route,169,,,0,Mainline,595593,0.105,1997/09/11 00:00:00+00,2021/04/29 14:13:48+00,2025/07/19 12:08:17+00,Kentucky River at Valley View,On KY 169 between Fayette/Jessamine County and Madison County,0
-9525320.131,4395775.29,10,086-KY-0214  -000,1.787,1.787,1.787,1.787,1,State Maintained Roads,TURKEY NECK BND,3,Bowling Green,Monroe,86,KY,Kentucky Route,214,,,0,Mainline,634669,0.052,1997/09/11 00:00:00+00,2021/04/29 14:14:26+00,2025/07/19 12:08:17+00,Cumberland River at Turkey Neck Bend,On KY 214 in Monroe County,0
