Origin State,Commodity,Year,Measure Names,Measure Values
Kentucky,Wood prods.,2023,Ton Miles (millions),1651.440689
Kentucky,Waste/scrap,2023,Ton Miles (millions),1636.376888
Kentucky,Transport equip.,2023,Ton Miles (millions),62.872698
Kentucky,Tobacco prods.,2023,Ton Miles (millions),6.158524
Kentucky,Textiles/leather,2023,Ton Miles (millions),374.823552
Kentucky,Printed prods.,2023,Ton Miles (millions),334.91428
Kentucky,Precision instruments,2023,Ton Miles (millions),56.675597
Kentucky,Plastics/rubber,2023,Ton Miles (millions),1502.396874
Kentucky,Pharmaceuticals,2023,Ton Miles (millions),615.727479
Kentucky,Paper articles,2023,Ton Miles (millions),619.734742
Kentucky,Other foodstuffs,2023,Ton Miles (millions),2133.477606
Kentucky,Other ag prods.,2023,Ton Miles (millions),2754.628621
Kentucky,Nonmetallic minerals,2023,Ton Miles (millions),194.264986
Kentucky,Nonmetal min. prods.,2023,Ton Miles (millions),2061.764352
Kentucky,Newsprint/paper,2023,Ton Miles (millions),1278.795681
Kentucky,Natural sands,2023,Ton Miles (millions),222.151877
Kentucky,Motorized vehicles,2023,Ton Miles (millions),4368.187932
Kentucky,Mixed freight,2023,Ton Miles (millions),1150.137711
Kentucky,Misc. mfg. prods.,2023,Ton Miles (millions),862.602157
Kentucky,Milled grain prods.,2023,Ton Miles (millions),720.890682
Kentucky,Metallic ores,2023,Ton Miles (millions),86.853561
Kentucky,Meat/seafood,2023,Ton Miles (millions),669.53528
Kentucky,Machinery,2023,Ton Miles (millions),1002.991767
Kentucky,Logs,2023,Ton Miles (millions),1063.588116
Kentucky,Live animals/fish,2023,Ton Miles (millions),411.292232
Kentucky,Gravel,2023,Ton Miles (millions),11397.138155
Kentucky,Gasoline,2023,Ton Miles (millions),1902.960689
Kentucky,Furniture,2023,Ton Miles (millions),296.886149
Kentucky,Fuel oils,2023,Ton Miles (millions),1228.945505
Kentucky,Fertilizers,2023,Ton Miles (millions),66.010495
Kentucky,Electronics,2023,Ton Miles (millions),592.034908
Kentucky,Crude petroleum,2023,Ton Miles (millions),322.624148
Kentucky,Coal-n.e.c.,2023,Ton Miles (millions),14296.320607
Kentucky,Coal,2023,Ton Miles (millions),22841.505006
Kentucky,Chemical prods.,2023,Ton Miles (millions),1417.1682
Kentucky,Cereal grains,2023,Ton Miles (millions),5962.119783
Kentucky,Building stone,2023,Ton Miles (millions),2.680276
Kentucky,Basic chemicals,2023,Ton Miles (millions),2170.623299
Kentucky,Base metals,2023,Ton Miles (millions),2969.347039
Kentucky,Articles-base metal,2023,Ton Miles (millions),698.685381
Kentucky,Animal feed,2023,Ton Miles (millions),1470.480227
Kentucky,Alcoholic beverages,2023,Ton Miles (millions),1072.46099
Kentucky,Wood prods.,2023,Tons (thousands),5568.186547
Kentucky,Waste/scrap,2023,Tons (thousands),11692.525447
Kentucky,Transport equip.,2023,Tons (thousands),102.072366
Kentucky,Tobacco prods.,2023,Tons (thousands),19.689841
Kentucky,Textiles/leather,2023,Tons (thousands),485.432167
Kentucky,Printed prods.,2023,Tons (thousands),618.327816
Kentucky,Precision instruments,2023,Tons (thousands),104.624246
Kentucky,Plastics/rubber,2023,Tons (thousands),3428.569967
Kentucky,Pharmaceuticals,2023,Tons (thousands),880.442665
Kentucky,Paper articles,2023,Tons (thousands),1413.236246
Kentucky,Other foodstuffs,2023,Tons (thousands),6665.242987
Kentucky,Other ag prods.,2023,Tons (thousands),5960.271801
Kentucky,Nonmetallic minerals,2023,Tons (thousands),739.016747
Kentucky,Nonmetal min. prods.,2023,Tons (thousands),11121.889828
Kentucky,Newsprint/paper,2023,Tons (thousands),2423.163729
Kentucky,Natural sands,2023,Tons (thousands),3073.119625
Kentucky,Motorized vehicles,2023,Tons (thousands),14251.254487
Kentucky,Mixed freight,2023,Tons (thousands),6919.975981
Kentucky,Misc. mfg. prods.,2023,Tons (thousands),2029.088499
