OBJECTID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,CITY,COUNTRY_CODE,REGION_CODE,ADO_CODE,STATE_NAME,COUNTY_NAME,COUNTY_ASSOC_STATE,ARPT_NAME,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,SURVEY_METHOD_CODE,ELEV,ELEV_METHOD_CODE,MAG_VARN,MAG_HEMIS,MAG_VARN_YEAR,TPA,CHART_NAME,DIST_CITY_TO_AIRPORT,DIRECTION_CODE,ACREAGE,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,FSS_ON_ARPT_FLAG,FSS_ID,FSS_NAME,PHONE_NO,TOLL_FREE_NO,ALT_FSS_ID,ALT_FSS_NAME,ALT_TOLL_FREE_NO,NOTAM_ID,NOTAM_FLAG,ACTIVATION_DATE,ARPT_STATUS,FAR_139_TYPE_CODE,FAR_139_CARRIER_SER_CODE,ARFF_CERT_TYPE_DATE,NASP_CODE,ASP_ANLYS_DTRM_CODE,CUST_FLAG,LNDG_RIGHTS_FLAG,JOINT_USE_FLAG,MIL_LNDG_FLAG,INSPECT_METHOD_CODE,INSPECTOR_CODE,LAST_INSPECTION,LAST_INFO_RESPONSE,FUEL_TYPES,AIRFRAME_REPAIR_SER_CODE,PWR_PLANT_REPAIR_SER,BOTTLED_OXY_TYPE,BULK_OXY_TYPE,LGT_SKED,BCN_LGT_SKED,TWR_TYPE_CODE,SEG_CIRCLE_MKR_FLAG,BCN_LENS_COLOR,LNDG_FEE_FLAG,MEDICAL_USE_FLAG,ARPT_PSN_SOURCE,POSITION_SRC_DATE,ARPT_ELEV_SOURCE,ELEVATION_SRC_DATE,CONTR_FUEL_AVBL,TRNS_STRG_BUOY_FLAG,TRNS_STRG_HGR_FLAG,TRNS_STRG_TIE_FLAG,OTHER_SERVICES,WIND_INDCR_FLAG,ICAO_ID,MIN_OP_NETWORK,USER_FEE_FLAG,CTA,x,y
15,12/25/2025,134,H,KY,90KY,ASHCAMP,US,ASO,MEM,KENTUCKY,PIKE,KY,MOTHER NATURE SPRING WATER,PR,PR,37,15,31.49,N,37.25874722,82,27,41.32,W,-82.46147777,E,1000,E,,,,,CINCINNATI,22,NW,1,ZID,ZCI,INDIANAPOLIS,,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,,,2011/09,O,,,,,CONDL,,,,,2,N,,3/9/2022,,,,,,,,NON-ATCT,,,,,ADO,9/4/2025,OWNER,5/23/2011,,,,,,Y,,N,,,-9179569.715,4475234.443
5992,12/25/2025,7015.01,H,KY,45KY,ALBANY,US,ASO,MEM,KENTUCKY,CLINTON,KY,MEDICAL CENTER ALBANY,PU,PR,36,41,52.48,N,36.69791111,85,8,44.64,W,-85.14573333,E,955,E,4,W,2005,,ST LOUIS,0,N,,ZID,ZCI,INDIANAPOLIS,N,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,FDC,N,1991/12,O,,,,,CONDL,,,,,2,N,,5/13/2020,,,,,,SS-SR,SS-SR,NON-ATCT,N,WGY,,Y,FAA,3/26/2007,FAA,3/26/2007,,,,,,Y-L,,N,,,-9478379.678,4397082.724
5993,12/25/2025,7015.02,H,KY,7KY6,ALBANY,US,ASO,MEM,KENTUCKY,RUSSELL,KY,GRIDER HILL-SETTLES,PR,PR,36,49,42.9,N,36.82858333,85,7,22.59,W,-85.12294166,E,713,E,,,,,ST LOUIS,10,S,,ZID,ZCI,INDIANAPOLIS,,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,,,2010/08,O,,,,,CONDL,,,,,2,N,,2/4/2025,,,,,,,,NON-ATCT,,,,,ADO,8/25/2025,ADO,8/25/2025,,,,,,Y,,N,,,-9475842.52,4415240.372
5994,12/25/2025,7015.03,A,KY,7KY4,ALBANY,US,ASO,MEM,KENTUCKY,CLINTON,KY,SPRING CREEK AIRPARK,PR,PR,36,38,20.3107,N,36.63897519,85,9,51.418,W,-85.16428277,E,990,E,,,,,,5,SSW,,ZID,ZCI,INDIANAPOLIS,,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,,,2024/07,O,,,,,CONDL,,,,,,N,,,,,,,,,,NON-ATCT,,,,,ADO,7/16/2024,ADO,7/16/2024,,,,,,,,N,,,-9480444.592,4388903.347
5995,12/25/2025,7022,A,KY,DWU,ASHLAND,US,ASO,MEM,KENTUCKY,GREENUP,KY,ASHLAND RGNL,PU,PU,38,33,16.059,N,38.55446083,82,44,15.583,W,-82.73766194,E,546.7,S,5,W,1995,,CINCINNATI,6,NW,170,ZID,ZCI,INDIANAPOLIS,N,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,LOU,Y,1948/10,O,,,,NGY,NOT ANALYZED,N,N,N,Y,S,S,7/13/2022,,"100LL,A",MINOR,MINOR,,,SEE RMK,SS-SR,NON-ATCT,Y,WG,Y,,3RD PARTY SURVEY,6/12/2018,3RD PARTY SURVEY,6/12/2018,,,Y,Y,"INSTR,RNTL",Y-L,KDWU,N,,,-9210314.397,4658051.367
5996,12/25/2025,7022.01,H,KY,4KY9,ASHLAND,US,ASO,MEM,KENTUCKY,BOYD,KY,KING'S DAUGHTERS MEDICAL CENTER,PR,PR,38,28,15,N,38.47083333,82,38,6,W,-82.635,E,625,E,6,W,2000,,CINCINNATI,1,N,,ZID,ZCI,INDIANAPOLIS,,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,,,2001/01,O,,,,,CONDL,,,,,2,N,,3/30/2021,,,,,,SS-SR,SS-SR,NON-ATCT,N,WGY,,Y,FAA-EST IMAGERY,10/18/2015,,,,,,,,Y-L,,N,,,-9198886.122,4646153.96
5997,12/25/2025,7027,A,KY,34KY,AUBURN,US,ASO,MEM,KENTUCKY,LOGAN,KY,LONE PINE AERODROME,PR,PR,36,54,40.87,N,36.91135277,86,47,7.98,W,-86.78555,E,710,E,1,W,1985,,ST LOUIS,5,NW,,ZME,ZCM,MEMPHIS,N,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,,N,1990/07,O,,,,,CONDL,,,,,2,N,,8/30/2022,,,,,,,,NON-ATCT,N,,,,,,STATE,9/19/2008,,,,,,Y,,N,,,-9660923.234,4426757.699
5998,12/25/2025,7033,H,KY,7KY5,BARBOURVILLE,US,ASO,MEM,KENTUCKY,KNOX,KY,BARBOURVILLE ARH,PR,PR,36,51,6,N,36.85166666,83,52,9,W,-83.86916666,E,1013,E,,,,,CINCINNATI,1,SE,1,ZID,ZCI,INDIANAPOLIS,,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,,,2010/06,O,,,,,CONDL,,,,,2,N,,5/21/2025,,,,,,,,NON-ATCT,,,,Y,FAA-EST IMAGERY,10/19/2015,OWNER,2/23/2010,,,,,,Y,,N,,,-9336272.926,4418451.151
5999,12/25/2025,7033.3,A,KY,BRY,BARDSTOWN,US,ASO,MEM,KENTUCKY,NELSON,KY,SAMUELS FLD,PU,PU,37,48,51.6,N,37.81433333,85,29,58.7,W,-85.49963888,E,668.8,S,5,W,2020,,ST LOUIS,2,W,110,ZID,ZCI,INDIANAPOLIS,N,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,LOU,Y,,O,,,,NGY,NO OBJECTION,N,N,N,Y,S,S,4/24/2024,,"100LL,A+",MINOR,MINOR,,NONE,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,8/15/2012,3RD PARTY SURVEY,8/15/2012,,,Y,Y,"AVNCS,CARGO,INSTR,RNTL",Y-L,KBRY,N,,,-9517776.263,4553230.44
6000,12/25/2025,7033.32,H,KY,5KY1,BARDSTOWN,US,ASO,MEM,KENTUCKY,NELSON,KY,FLAGET MEML HOSPITAL,PR,PR,37,51,39.91,N,37.86108611,85,31,23.31,W,-85.52314166,E,722,E,,,,,ST LOUIS,4,NW,1,ZID,ZCI,INDIANAPOLIS,,LOU,LOUISVILLE,,1-800-WX-BRIEF,,,,,,2010/05,O,,,,,CONDL,,,,,2,N,,11/27/2023,,,,,,SS-SR,,NON-ATCT,,,,Y,FAA-EST IMAGERY,9/22/2014,OWNER,2/23/2010,,,,,,Y,,N,,,-9520392.581,4559820.483
