OBJECTID,KBIF ID,Facility Name,Facility Street Address,City Name,State,Zip Code ,County Name,Area Development District,NAICS Code,Building Sq Footage,Number of Employees,Average Trucks per Day,Truck Bays,Average Trains Week,Facility Length of Rail,Number of Rail Doors,Prior CHAF ID,Completed CHAF ID,Existing CHAF ID,Intermodal Connector Needs,Comments,Meets Criteria,Area Development District Name,County Number,District Number,District Name,RT Unique,Road Name,Route Prefix,Route Suffix,Route Label,Update Indicator,GUID_Str,End Active Date,GlobalID,last_edited_date,created_user,created_date,last_edited_user,MP,RT_NUMBER,x,y
1,1522,Corning Incorporated,680 East Office St,Harrodsburg,KY,40330-1300,Mercer,BGADD,327211,198500,400,16,8,0,0,0, , , , ,ATD EST,YES,BLUEGRASS ADD,84,7,Lexington,,,,,,2,9328210B-9E44-4577-9130-0036955138DC,,e4f57a55-65d1-4385-a45f-77e50ec6e2df,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9443213.5836,4545183.653
2,4164,"FIAT Products, LLC",706 Highway 3057,Somerset,KY,42501-3302,Pulaski,LCADD,326191,258000,37,10,5,0,0,0, , , , ,NAME UPDATED 2024. ESTIMATED NUMBER OF TRUCKS.,YES,LAKE CUMBERLAND ADD,100,8,Somerset,,,,,,2,3C648A06-E9ED-416A-930F-006BA7F44DDF,,32c75322-da75-4ef2-8676-2e7bd48ecd03,6/28/2024 12:00:00 AM,,,EMILY.BARTEE,,,-9417572.8958,4446790.1565
3,2169,Omico Plastics Inc,2025 Ragu Drive,Owensboro,KY,42303-,Daviess,GRADD,326199,196000,67,12,3,0,0,0, , , , ,UPDATED BAYS,YES,GREEN RIVER ADD,30,2,Madisonville,,,,,,2,71348C6F-FF02-4D14-92F4-00842CE46DCD,,52970649-d6fc-49d3-ae6f-890778bdbc4b,6/23/2022 12:00:00 AM,,,EMILY.BARTEE,,,-9693000.6607,4546117.0358
4,0,UNKNOWN,811 RAVEN AVE,BOWLING GREEN,KY,42101,Warren,BRADD, ,98100,0,0,5,0,0,0, , , , ,BRADD NEEDS TO SURVEY,YES,BARREN RIVER ADD,114,3,Bowling Green,,,,,,2,5A967F92-5017-41B4-B142-00AC8BA80EB2,,696903f3-df9c-4e6a-9fe8-847edd303505,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9623290.4431,4440054.6617
5,244318100,Sister Schubert's Homemade Rolls Inc,900 Top Quality Drive,Horse Cave,KY,42749-,Hart,BRADD,"311812, 493120",157484,170,0,10,0,0,0, , , , ,MOVED FEATURE,YES,BARREN RIVER ADD,50,4,Elizabethtown,,,,,,2,A7B6C38F-ABFE-4E78-8B7D-00C19F7535CC,,474ce242-fb81-43c4-9a4c-8c710dcc4d79,6/2/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9564086.3626,4461565.0535
6,5527,Hobart,58 Corporate Dr,Danville,KY,40422-9690,Boyle,BGADD,333318,90000,114,6,3,0,0,0, , , , ,"EMPLYMT, ATD EST",YES,BLUEGRASS ADD,11,7,Lexington,,,,,,2,9BF21928-4D80-4D5C-A78E-00C52665969A,,b8710a8d-a42b-43f4-8294-8056b8b46678,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9441757.8815,4526257.8513
7,0,Distributors Warehouse Inc.,1900 N 10th St #1766,Paducah,KY,42001,McCracken,PUADD,423120,50000,45,10,6,0,0,0, , , , ,UPDATED TRUCK BAYS,YES,PURCHASE ADD,73,1,Paducah,,,,,,2,02A84F65-93AB-498F-A239-00CBB6D5C97C,,020991a5-ef20-4115-8101-c181d2b3c375,9/1/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9866018.514,4452418.3918
8,0,BAP,1261 Aviation Blvd,Hebron,KY,41048,Boone,NKADD,441310,112000,35,65,36,0,0,0, , , , ,NEW FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,5B90AE9D-97B6-4E21-9C8F-00EDC3346EFB,,1a4c46b2-6395-423a-87bc-c51f813ed2a1,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9426291.7239,4733377.0735
9,0,Container & Packaging,1001 Glengarry Dr,Fairdale,KY,40118,Jefferson,KIPDA,493110,168000,0,40,20,0,0,0, , , , ,2023 NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,6BA4A3D0-84CB-48AB-9A8A-011B821DAEC3,,d3ecd068-cb5a-449b-a32f-27f7d2722ab4,6/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9545116.6342,4597130.743
10,376907902,DHL,2325 Global Way,Hebron,KY,41048-8620,Boone,NKADD,492110,160000,238,44,33,0,0,0, , , , ,MOVED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,7FC2A1FE-DD7F-4986-BCAE-012FFBDE341B,,c8e451f9-6928-408e-9686-db7308974cfa,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9431204.5201,4734571.5056
