Measure,State,Year,Value
Miles of public road,United States,2010,"4,083,767.858"
Miles of public road,United States,2015,"4,171,910.94"
Miles of public road,United States,2016,"4,157,291.66"
Miles of public road,United States,2017,"4,183,707.24"
Miles of public road,United States,2018,"4,195,273.99"
Miles of public road,United States,2019,"4,189,483.401"
Miles of public road,United States,2020,"4,192,478.508"
Miles of public road,United States,2021,"4,207,403.309"
Miles of public road,United States,2022,"4,217,422.932"
Miles of public road,United States,2023,"4,219,172.493"
Miles of public road,United States,2024,"4,228,429.879"
Miles of public road,Alabama,2010,"101,574.634"
Miles of public road,Alabama,2015,"102,019.13"
Miles of public road,Alabama,2016,"101,975.36"
Miles of public road,Alabama,2017,"101,096.97"
Miles of public road,Alabama,2018,"100,962.39"
Miles of public road,Alabama,2019,"100,684.55"
Miles of public road,Alabama,2020,"100,170.897"
Miles of public road,Alabama,2021,"100,176.903"
Miles of public road,Alabama,2022,"98,631.977"
Miles of public road,Alabama,2023,"100,223.377"
Miles of public road,Alabama,2024,"99,024.552"
Miles of public road,Alaska,2010,"16,302.807"
Miles of public road,Alaska,2015,"16,129.35"
Miles of public road,Alaska,2016,"15,528.07"
Miles of public road,Alaska,2017,"15,534.91"
Miles of public road,Alaska,2018,"17,049.75"
Miles of public road,Alaska,2019,"17,735.624"
Miles of public road,Alaska,2020,"17,680.928"
Miles of public road,Alaska,2021,"17,690.421"
Miles of public road,Alaska,2022,"17,636.975"
Miles of public road,Alaska,2023,"17,638.876"
Miles of public road,Alaska,2024,"17,653.842"
Miles of public road,Arizona,2010,"64,308.416"
Miles of public road,Arizona,2015,"66,121.91"
Miles of public road,Arizona,2016,"66,035.05"
Miles of public road,Arizona,2017,"66,557.9"
Miles of public road,Arizona,2018,"66,781.7"
Miles of public road,Arizona,2019,"66,901.124"
Miles of public road,Arizona,2020,"66,968.047"
Miles of public road,Arizona,2021,"74,782.878"
Miles of public road,Arizona,2022,"74,507.241"
Miles of public road,Arizona,2023,"75,223.933"
Miles of public road,Arizona,2024,"76,078.516"
Miles of public road,Arkansas,2010,"100,068.32"
Miles of public road,Arkansas,2015,"102,609"
Miles of public road,Arkansas,2016,"102,616.08"
Miles of public road,Arkansas,2017,"102,602.65"
Miles of public road,Arkansas,2018,"102,621.77"
Miles of public road,Arkansas,2019,"102,614.972"
Miles of public road,Arkansas,2020,"99,246.486"
Miles of public road,Arkansas,2021,"99,331.942"
Miles of public road,Arkansas,2022,"99,087.019"
Miles of public road,Arkansas,2023,"99,164.852"
Miles of public road,Arkansas,2024,"99,200.431"
Miles of public road,California,2010,"172,138.66"
Miles of public road,California,2015,"195,834"
Miles of public road,California,2016,"180,799.99"
Miles of public road,California,2017,"176,214.24"
Miles of public road,California,2018,"175,589.29"
Miles of public road,California,2019,"175,555.46"
Miles of public road,California,2020,"175,562.156"
Miles of public road,California,2021,"177,299.941"
Miles of public road,California,2022,"182,103.142"
Miles of public road,California,2023,"177,333.604"
Miles of public road,California,2024,"177,607.363"
Miles of public road,Colorado,2010,"88,352.834"
Miles of public road,Colorado,2015,"88,739.81"
Miles of public road,Colorado,2016,"88,827.66"
Miles of public road,Colorado,2017,"88,818.01"
Miles of public road,Colorado,2018,"88,974.87"
Miles of public road,Colorado,2019,"89,068.852"
Miles of public road,Colorado,2020,"89,207.321"
Miles of public road,Colorado,2021,"89,385.084"
Miles of public road,Colorado,2022,"89,550.794"
Miles of public road,Colorado,2023,"89,784.296"
Miles of public road,Colorado,2024,"89,954.728"
Miles of public road,Connecticut,2010,"21,390.72"
Miles of public road,Connecticut,2015,"21,511.76"
Miles of public road,Connecticut,2016,"21,530.83"
Miles of public road,Connecticut,2017,"21,543.84"
Miles of public road,Connecticut,2018,"21,555.74"
Miles of public road,Connecticut,2019,"21,577.4"
Miles of public road,Connecticut,2020,"21,575.04"
Miles of public road,Connecticut,2021,"21,362.59"
Miles of public road,Connecticut,2022,"21,367.55"
Miles of public road,Connecticut,2023,"21,477.78"
Miles of public road,Connecticut,2024,"21,471.66"
Miles of public road,Delaware,2010,"6,337.2"
Miles of public road,Delaware,2015,"6,415.53"
Miles of public road,Delaware,2016,"6,427.18"
Miles of public road,Delaware,2017,"6,452.45"
Miles of public road,Delaware,2018,"6,461.12"
Miles of public road,Delaware,2019,"6,499.03"
Miles of public road,Delaware,2020,"6,525.61"
Miles of public road,Delaware,2021,"6,543.54"
Miles of public road,Delaware,2022,"6,574.85"
Miles of public road,Delaware,2023,"6,665.72"
Miles of public road,Delaware,2024,"6,695.11"
Miles of public road,District of Columbia,2010,"1,503.04"
Miles of public road,District of Columbia,2015,"1,506.69"
Miles of public road,District of Columbia,2016,"1,508.74"
Miles of public road,District of Columbia,2017,"1,513.93"
Miles of public road,District of Columbia,2018,"1,513.95"
Miles of public road,District of Columbia,2019,"1,514.65"
Miles of public road,District of Columbia,2020,"1,515.913"
Miles of public road,District of Columbia,2021,"1,519.528"
Miles of public road,District of Columbia,2022,"1,520.056"
Miles of public road,District of Columbia,2023,"1,519.391"
Miles of public road,District of Columbia,2024,"1,518.885"
Miles of public road,Florida,2010,"121,701.907"
Miles of public road,Florida,2015,"122,659.36"
Miles of public road,Florida,2016,"122,735.79"
Miles of public road,Florida,2017,"122,848.47"
Miles of public road,Florida,2018,"123,099.22"
Miles of public road,Florida,2019,"123,104.45"
Miles of public road,Florida,2020,"123,487.605"
Miles of public road,Florida,2021,"123,652.123"
Miles of public road,Florida,2022,"123,816.635"
Miles of public road,Florida,2023,"124,310.039"
Miles of public road,Florida,2024,"124,581.044"
Miles of public road,Georgia,2010,"122,916.67"
Miles of public road,Georgia,2015,"128,133.52"
Miles of public road,Georgia,2016,"128,235.19"
Miles of public road,Georgia,2017,"128,355.01"
Miles of public road,Georgia,2018,"128,396.52"
Miles of public road,Georgia,2019,"128,461.491"
Miles of public road,Georgia,2020,"128,571.803"
Miles of public road,Georgia,2021,"125,700.532"
Miles of public road,Georgia,2022,"125,762.096"
Miles of public road,Georgia,2023,"127,278.603"
Miles of public road,Georgia,2024,"127,307.638"
Miles of public road,Hawaii,2010,"4,394.513"
Miles of public road,Hawaii,2015,"4,455.08"
Miles of public road,Hawaii,2016,"4,468.56"
Miles of public road,Hawaii,2017,"4,476.27"
Miles of public road,Hawaii,2018,"4,475.48"
Miles of public road,Hawaii,2019,"4,498.691"
Miles of public road,Hawaii,2020,"4,501.037"
Miles of public road,Hawaii,2021,"4,515.025"
Miles of public road,Hawaii,2022,"4,523.539"
Miles of public road,Hawaii,2023,"4,521.709"
Miles of public road,Hawaii,2024,"4,627.55"
Miles of public road,Idaho,2010,"48,770.622"
Miles of public road,Idaho,2015,"51,162.68"
Miles of public road,Idaho,2016,"51,341.79"
Miles of public road,Idaho,2017,"52,437.35"
Miles of public road,Idaho,2018,"56,347.37"
Miles of public road,Idaho,2019,"52,518.763"
Miles of public road,Idaho,2020,"53,281.228"
Miles of public road,Idaho,2021,"54,031.155"
Miles of public road,Idaho,2022,"58,428.351"
Miles of public road,Idaho,2023,"59,860.655"
Miles of public road,Idaho,2024,"59,240.034"
Miles of public road,Illinois,2010,"139,518.96"
Miles of public road,Illinois,2015,"145,839.54"
Miles of public road,Illinois,2016,"145,892.44"
Miles of public road,Illinois,2017,"145,935.68"
Miles of public road,Illinois,2018,"145,975.61"
