Measure Names,State,Year,Measure Values
Persons (thousands),United States,2001,"1,663,218"
Person trips (millions),United States,2001,"2,443,572"
Person miles (millions),United States,2001,"23,836,494"
Persons (thousands),United States,2009,"1,698,324"
Person trips (millions),United States,2009,"2,352,138"
Person miles (millions),United States,2009,"22,396,746"
Persons (thousands),United States,2017,"1,809,594"
Person trips (millions),United States,2017,"2,226,912"
Person miles (millions),United States,2017,"23,821,722"
Persons (thousands),Alabama,2001,"23,556"
Person trips (millions),Alabama,2001,"33,984"
Person miles (millions),Alabama,2001,"373,344"
Persons (thousands),Alabama,2009,"26,154"
Person trips (millions),Alabama,2009,"32,682"
Person miles (millions),Alabama,2009,"376,698"
Persons (thousands),Alabama,2017,"26,796"
Person trips (millions),Alabama,2017,"31,812"
Person miles (millions),Alabama,2017,"474,150"
Persons (thousands),Alaska,2009,"3,834"
Person trips (millions),Alaska,2009,"5,760"
Person miles (millions),Alaska,2009,"82,530"
Persons (thousands),Alaska,2017,"4,116"
Person trips (millions),Alaska,2017,"5,148"
Person miles (millions),Alaska,2017,"47,934"
Persons (thousands),Arizona,2001,"28,512"
Person trips (millions),Arizona,2001,"41,238"
Person miles (millions),Arizona,2001,"429,594"
Persons (thousands),Arizona,2009,"35,904"
Person trips (millions),Arizona,2009,"51,192"
Person miles (millions),Arizona,2009,"477,450"
Persons (thousands),Arizona,2017,"38,292"
Person trips (millions),Arizona,2017,"45,720"
Person miles (millions),Arizona,2017,"685,818"
Persons (thousands),Arkansas,2001,"15,912"
Person trips (millions),Arkansas,2001,"22,080"
Person miles (millions),Arkansas,2001,"252,852"
Persons (thousands),Arkansas,2009,"16,008"
Person trips (millions),Arkansas,2009,"22,698"
Person miles (millions),Arkansas,2009,"220,908"
Persons (thousands),Arkansas,2017,"18,504"
Person trips (millions),Arkansas,2017,"21,780"
Person miles (millions),Arkansas,2017,"179,862"
Persons (thousands),California,2001,"200,544"
Person trips (millions),California,2001,"293,172"
Person miles (millions),California,2001,"3,107,106"
Persons (thousands),California,2009,"204,312"
Person trips (millions),California,2009,"281,280"
Person miles (millions),California,2009,"2,375,352"
Persons (thousands),California,2017,"219,792"
Person trips (millions),California,2017,"264,006"
Person miles (millions),California,2017,"2,871,636"
Persons (thousands),Colorado,2001,"25,722"
Person trips (millions),Colorado,2001,"39,804"
Person miles (millions),Colorado,2001,"407,520"
Persons (thousands),Colorado,2009,"27,474"
Person trips (millions),Colorado,2009,"41,616"
Person miles (millions),Colorado,2009,"375,882"
Persons (thousands),Colorado,2017,"28,296"
Person trips (millions),Colorado,2017,"40,338"
Person miles (millions),Colorado,2017,"420,792"
Persons (thousands),Connecticut,2001,"18,396"
Person trips (millions),Connecticut,2001,"29,640"
Person miles (millions),Connecticut,2001,"254,298"
Persons (thousands),Connecticut,2009,"19,788"
Person trips (millions),Connecticut,2009,"28,308"
Person miles (millions),Connecticut,2009,"260,730"
Persons (thousands),Connecticut,2017,"17,712"
Person trips (millions),Connecticut,2017,"21,624"
Person miles (millions),Connecticut,2017,"190,494"
Persons (thousands),Delaware,2009,"4,866"
Person trips (millions),Delaware,2009,"7,176"
Person miles (millions),Delaware,2009,"78,186"
Persons (thousands),Delaware,2017,"5,484"
Person trips (millions),Delaware,2017,"6,498"
Person miles (millions),Delaware,2017,"86,310"
Persons (thousands),District of Columbia,2009,"3,354"
Person trips (millions),District of Columbia,2009,"4,206"
Person miles (millions),District of Columbia,2009,"20,520"
Persons (thousands),District of Columbia,2017,"7,446"
Person trips (millions),District of Columbia,2017,"8,496"
Person miles (millions),District of Columbia,2017,"52,626"
Persons (thousands),Florida,2001,"87,180"
Person trips (millions),Florida,2001,"125,100"
Person miles (millions),Florida,2001,"1,135,596"
Persons (thousands),Florida,2009,"103,128"
Person trips (millions),Florida,2009,"137,184"
Person miles (millions),Florida,2009,"1,247,292"
Persons (thousands),Florida,2017,"106,314"
Person trips (millions),Florida,2017,"127,008"
Person miles (millions),Florida,2017,"1,296,390"
Persons (thousands),Georgia,2001,"52,950"
Person trips (millions),Georgia,2001,"75,420"
Person miles (millions),Georgia,2001,"822,960"
Persons (thousands),Georgia,2009,"53,664"
Person trips (millions),Georgia,2009,"71,172"
Person miles (millions),Georgia,2009,"758,502"
Persons (thousands),Georgia,2017,"57,378"
Person trips (millions),Georgia,2017,"66,474"
Person miles (millions),Georgia,2017,"790,434"
Persons (thousands),Hawaii,2001,"7,146"
Person trips (millions),Hawaii,2001,"9,318"
Person miles (millions),Hawaii,2001,"68,724"
Persons (thousands),Hawaii,2009,"7,254"
Person trips (millions),Hawaii,2009,"9,828"
Person miles (millions),Hawaii,2009,"53,166"
Persons (thousands),Hawaii,2017,"8,322"
Person trips (millions),Hawaii,2017,"9,978"
Person miles (millions),Hawaii,2017,"84,888"
Persons (thousands),Idaho,2009,"8,412"
Person trips (millions),Idaho,2009,"12,594"
Person miles (millions),Idaho,2009,"103,884"
Persons (thousands),Idaho,2017,"11,550"
Person trips (millions),Idaho,2017,"13,704"
Person miles (millions),Idaho,2017,"98,772"
Persons (thousands),Illinois,2001,"68,178"
Person trips (millions),Illinois,2001,"105,828"
Person miles (millions),Illinois,2001,"987,576"
Persons (thousands),Illinois,2009,"72,042"
Person trips (millions),Illinois,2009,"100,920"
Person miles (millions),Illinois,2009,"1,136,904"
Persons (thousands),Illinois,2017,"71,904"
Person trips (millions),Illinois,2017,"90,474"
Person miles (millions),Illinois,2017,"891,162"
Persons (thousands),Indiana,2001,"34,284"
Person trips (millions),Indiana,2001,"51,462"
Person miles (millions),Indiana,2001,"510,594"
Persons (thousands),Indiana,2009,"35,604"
Person trips (millions),Indiana,2009,"48,300"
Person miles (millions),Indiana,2009,"428,262"
Persons (thousands),Indiana,2017,"35,712"
Person trips (millions),Indiana,2017,"46,614"
Person miles (millions),Indiana,2017,"465,504"
Persons (thousands),Iowa,2001,"18,348"
Person trips (millions),Iowa,2001,"29,136"
Person miles (millions),Iowa,2001,"278,016"
Persons (thousands),Iowa,2009,"16,806"
Person trips (millions),Iowa,2009,"23,850"
Person miles (millions),Iowa,2009,"192,180"
Persons (thousands),Iowa,2017,"19,176"
Person trips (millions),Iowa,2017,"24,624"
Person miles (millions),Iowa,2017,"268,218"
Persons (thousands),Kansas,2001,"15,936"
Person trips (millions),Kansas,2001,"26,058"
Person miles (millions),Kansas,2001,"245,976"
Persons (thousands),Kansas,2009,"15,534"
Person trips (millions),Kansas,2009,"22,152"
Person miles (millions),Kansas,2009,"232,458"
Persons (thousands),Kansas,2017,"15,384"
Person trips (millions),Kansas,2017,"20,460"
Person miles (millions),Kansas,2017,"158,376"
Persons (thousands),Kentucky,2001,"22,158"
Person trips (millions),Kentucky,2001,"31,950"
Person miles (millions),Kentucky,2001,"431,928"
Persons (thousands),Kentucky,2009,"23,946"
Person trips (millions),Kentucky,2009,"32,868"
Person miles (millions),Kentucky,2009,"336,270"
Persons (thousands),Kentucky,2017,"26,670"
Person trips (millions),Kentucky,2017,"35,166"
Person miles (millions),Kentucky,2017,"393,066"
Persons (thousands),Louisiana,2001,"23,244"
Person trips (millions),Louisiana,2001,"32,478"
Person miles (millions),Louisiana,2001,"320,592"
Persons (thousands),Louisiana,2009,"24,576"
Person trips (millions),Louisiana,2009,"34,902"
Person miles (millions),Louisiana,2009,"389,142"
Persons (thousands),Louisiana,2017,"22,974"
Person trips (millions),Louisiana,2017,"31,794"
Person miles (millions),Louisiana,2017,"244,770"
Persons (thousands),Maine,2009,"7,422"
Person trips (millions),Maine,2009,"10,812"
Person miles (millions),Maine,2009,"105,144"
Persons (thousands),Maine,2017,"9,666"
Person trips (millions),Maine,2017,"11,082"
Person miles (millions),Maine,2017,"119,436"
Persons (thousands),Maryland,2001,"32,712"
Person trips (millions),Maryland,2001,"44,568"
Person miles (millions),Maryland,2001,"421,608"
Persons (thousands),Maryland,2009,"31,548"
Person trips (millions),Maryland,2009,"42,312"
Person miles (millions),Maryland,2009,"467,382"
Persons (thousands),Maryland,2017,"33,900"
Person trips (millions),Maryland,2017,"40,956"
Person miles (millions),Maryland,2017,"519,546"
Persons (thousands),Massachusetts,2001,"37,698"
Person trips (millions),Massachusetts,2001,"56,346"
Person miles (millions),Massachusetts,2001,"452,886"
Persons (thousands),Massachusetts,2009,"36,690"
Person trips (millions),Massachusetts,2009,"50,592"
Person miles (millions),Massachusetts,2009,"478,596"
Persons (thousands),Massachusetts,2017,"37,146"
Person trips (millions),Massachusetts,2017,"50,376"
Person miles (millions),Massachusetts,2017,"423,396"
Persons (thousands),Michigan,2001,"59,628"
Person trips (millions),Michigan,2001,"92,148"
Person miles (millions),Michigan,2001,"859,032"
Persons (thousands),Michigan,2009,"56,268"
Person trips (millions),Michigan,2009,"87,942"
Person miles (millions),Michigan,2009,"794,814"
Persons (thousands),Michigan,2017,"55,560"
Person trips (millions),Michigan,2017,"68,838"
Person miles (millions),Michigan,2017,"738,588"
Persons (thousands),Minnesota,2001,"32,580"
Person trips (millions),Minnesota,2001,"48,456"
Person miles (millions),Minnesota,2001,"545,358"
Persons (thousands),Minnesota,2009,"29,196"
Person trips (millions),Minnesota,2009,"40,908"
Person miles (millions),Minnesota,2009,"368,742"
Persons (thousands),Minnesota,2017,"34,890"
Person trips (millions),Minnesota,2017,"43,014"
Person miles (millions),Minnesota,2017,"675,372"
Persons (thousands),Mississippi,2001,"12,288"
Person trips (millions),Mississippi,2001,"16,326"
Person miles (millions),Mississippi,2001,"157,716"
Persons (thousands),Mississippi,2009,"16,218"
Person trips (millions),Mississippi,2009,"22,218"
Person miles (millions),Mississippi,2009,"278,574"
Persons (thousands),Mississippi,2017,"16,920"
Person trips (millions),Mississippi,2017,"19,746"
Person miles (millions),Mississippi,2017,"228,624"
Persons (thousands),Missouri,2001,"33,276"
Person trips (millions),Missouri,2001,"51,882"
Person miles (millions),Missouri,2001,"500,226"
Persons (thousands),Missouri,2009,"33,108"
Person trips (millions),Missouri,2009,"48,978"
Person miles (millions),Missouri,2009,"627,804"
Persons (thousands),Missouri,2017,"29,898"
Person trips (millions),Missouri,2017,"36,624"
Person miles (millions),Missouri,2017,"354,306"
Persons (thousands),Montana,2009,"5,436"
Person trips (millions),Montana,2009,"8,124"
Person miles (millions),Montana,2009,"91,788"
Persons (thousands),Montana,2017,"6,654"
Person trips (millions),Montana,2017,"7,776"
Person miles (millions),Montana,2017,"92,742"
Persons (thousands),Nebraska,2009,"9,906"
Person trips (millions),Nebraska,2009,"14,820"
Person miles (millions),Nebraska,2009,"139,284"
Persons (thousands),Nebraska,2017,"10,434"
Person trips (millions),Nebraska,2017,"13,266"
Person miles (millions),Nebraska,2017,"110,082"
Persons (thousands),Nevada,2009,"14,412"
Person trips (millions),Nevada,2009,"17,832"
Person miles (millions),Nevada,2009,"142,752"
Persons (thousands),Nevada,2017,"13,440"
Person trips (millions),Nevada,2017,"16,284"
Person miles (millions),Nevada,2017,"125,238"
Persons (thousands),New Hampshire,2009,"7,452"
Person trips (millions),New Hampshire,2009,"10,806"
Person miles (millions),New Hampshire,2009,"104,238"
Persons (thousands),New Hampshire,2017,"8,514"
Person trips (millions),New Hampshire,2017,"10,776"
Person miles (millions),New Hampshire,2017,"105,552"
Persons (thousands),New Jersey,2001,"43,326"
Person trips (millions),New Jersey,2001,"63,048"
Person miles (millions),New Jersey,2001,"504,138"
Persons (thousands),New Jersey,2009,"48,750"
Person trips (millions),New Jersey,2009,"68,424"
Person miles (millions),New Jersey,2009,"711,732"
Persons (thousands),New Jersey,2017,"53,724"
Person trips (millions),New Jersey,2017,"67,734"
Person miles (millions),New Jersey,2017,"829,356"
Persons (thousands),New Mexico,2009,"11,022"
Person trips (millions),New Mexico,2009,"16,158"
Person miles (millions),New Mexico,2009,"151,428"
Persons (thousands),New Mexico,2017,"11,022"
Person trips (millions),New Mexico,2017,"15,990"
Person miles (millions),New Mexico,2017,"141,096"
Persons (thousands),New York,2001,"111,816"
Person trips (millions),New York,2001,"149,874"
Person miles (millions),New York,2001,"1,167,888"
Persons (thousands),New York,2009,"109,692"
Person trips (millions),New York,2009,"145,686"
Person miles (millions),New York,2009,"1,031,250"
Persons (thousands),New York,2017,"112,098"
Person trips (millions),New York,2017,"134,694"
