Measure Names,Port Name,State,Year,Port Code,Measure Values
Total (tons),,Illinois,2021,,"2,131,488"
Domestic,,Illinois,2021,,"2,131,488"
Foreign Total,,Illinois,2021,,0
Exports,,Illinois,2021,,0
Imports,,Illinois,2021,,0
Total (tons),,Indiana,2021,,"54,435,731"
Domestic,,Indiana,2021,,"53,776,350"
Foreign Total,,Indiana,2021,,"659,381"
Exports,,Indiana,2021,,0
Imports,,Indiana,2021,,"659,381"
Total (tons),,Missouri,2021,,"9,312,609"
Domestic,,Missouri,2021,,"9,312,609"
Foreign Total,,Missouri,2021,,0
Exports,,Missouri,2021,,0
Imports,,Missouri,2021,,0
Total (tons),,Arizona,2019,,0
Domestic,,Arizona,2019,,0
Foreign Total,,Arizona,2019,,0
Exports,,Arizona,2019,,0
Imports,,Arizona,2019,,0
Total (tons),,Arizona,2020,,0
Domestic,,Arizona,2020,,0
Foreign Total,,Arizona,2020,,0
Exports,,Arizona,2020,,0
Imports,,Arizona,2020,,0
Total (tons),,Colorado,2019,,0
Domestic,,Colorado,2019,,0
Foreign Total,,Colorado,2019,,0
Exports,,Colorado,2019,,0
Imports,,Colorado,2019,,0
Total (tons),,Colorado,2020,,0
Domestic,,Colorado,2020,,0
Foreign Total,,Colorado,2020,,0
Exports,,Colorado,2020,,0
Imports,,Colorado,2020,,0
Total (tons),,District of Columbia,2019,,0
Domestic,,District of Columbia,2019,,0
Foreign Total,,District of Columbia,2019,,0
Exports,,District of Columbia,2019,,0
Imports,,District of Columbia,2019,,0
Total (tons),,District of Columbia,2020,,0
Domestic,,District of Columbia,2020,,0
Foreign Total,,District of Columbia,2020,,0
Exports,,District of Columbia,2020,,0
Imports,,District of Columbia,2020,,0
Total (tons),,Idaho,2019,,0
Domestic,,Idaho,2019,,0
Foreign Total,,Idaho,2019,,0
Exports,,Idaho,2019,,0
Imports,,Idaho,2019,,0
Total (tons),,Idaho,2020,,0
Domestic,,Idaho,2020,,0
Foreign Total,,Idaho,2020,,0
Exports,,Idaho,2020,,0
Imports,,Idaho,2020,,0
