Measures,State,Year of Year,Values
Licensed drivers,United States,2010,"210,114,939.3"
Licensed drivers,United States,2015,"218,084,465.3"
Licensed drivers,United States,2016,"221,711,918"
Licensed drivers,United States,2017,"225,346,257"
Licensed drivers,United States,2018,"227,548,895"
Licensed drivers,United States,2020,"228,195,802.4"
Licensed drivers,United States,2019,"228,679,719.2"
Licensed drivers,United States,2021,"232,781,797"
Licensed drivers,United States,2022,"235,086,153"
Licensed drivers,United States,2023,"237,655,884.8"
Licensed drivers,Alabama,2010,"3,805,751"
Licensed drivers,Alabama,2015,"3,907,038"
Licensed drivers,Alabama,2016,"3,943,082"
Licensed drivers,Alabama,2017,"3,954,378"
Licensed drivers,Alabama,2018,"3,999,057"
Licensed drivers,Alabama,2019,"4,026,151"
Licensed drivers,Alabama,2020,"4,042,900"
Licensed drivers,Alabama,2021,"4,061,837"
Licensed drivers,Alabama,2022,"4,087,885"
Licensed drivers,Alabama,2023,"4,087,885"
Licensed drivers,Alaska,2010,"515,239"
Licensed drivers,Alaska,2020,"518,872"
Licensed drivers,Alaska,2021,"519,288"
Licensed drivers,Alaska,2022,"521,220"
Licensed drivers,Alaska,2023,"525,195"
Licensed drivers,Alaska,2019,"529,281"
Licensed drivers,Alaska,2015,"533,227"
Licensed drivers,Alaska,2016,"534,585"
Licensed drivers,Alaska,2017,"534,585"
Licensed drivers,Alaska,2018,"536,033"
Licensed drivers,Arizona,2010,"4,443,647"
Licensed drivers,Arizona,2015,"4,978,762"
Licensed drivers,Arizona,2016,"5,082,305"
Licensed drivers,Arizona,2017,"5,164,966"
Licensed drivers,Arizona,2018,"5,284,970"
Licensed drivers,Arizona,2019,"5,369,210"
Licensed drivers,Arizona,2020,"5,681,495"
Licensed drivers,Arizona,2021,"5,795,216"
Licensed drivers,Arizona,2022,"5,847,661"
Licensed drivers,Arizona,2023,"5,849,992"
Licensed drivers,Arkansas,2010,"2,077,806"
Licensed drivers,Arkansas,2015,"2,119,578"
Licensed drivers,Arkansas,2018,"2,145,334"
Licensed drivers,Arkansas,2019,"2,153,929"
Licensed drivers,Arkansas,2020,"2,153,929"
Licensed drivers,Arkansas,2021,"2,306,921"
Licensed drivers,Arkansas,2022,"2,306,921"
Licensed drivers,Arkansas,2023,"2,306,921"
Licensed drivers,Arkansas,2016,"2,391,103"
Licensed drivers,Arkansas,2017,"2,417,464"
Licensed drivers,California,2010,"23,753,441"
Licensed drivers,California,2015,"25,532,920"
Licensed drivers,California,2016,"26,199,436"
Licensed drivers,California,2017,"26,777,132"
Licensed drivers,California,2020,"27,005,302"
Licensed drivers,California,2018,"27,039,400"
Licensed drivers,California,2021,"27,112,595"
Licensed drivers,California,2019,"27,213,650"
Licensed drivers,California,2022,"27,632,103"
Licensed drivers,California,2023,"27,742,348"
Licensed drivers,Colorado,2010,"3,779,273"
Licensed drivers,Colorado,2015,"3,974,521"
Licensed drivers,Colorado,2016,"4,066,580"
Licensed drivers,Colorado,2017,"4,156,138"
Licensed drivers,Colorado,2019,"4,235,384"
Licensed drivers,Colorado,2018,"4,244,713"
Licensed drivers,Colorado,2020,"4,299,447"
Licensed drivers,Colorado,2021,"4,411,587"
Licensed drivers,Colorado,2022,"4,477,447"
Licensed drivers,Colorado,2023,"4,486,899"
Licensed drivers,Connecticut,2020,"2,508,670"
Licensed drivers,Connecticut,2015,"2,566,673"
Licensed drivers,Connecticut,2017,"2,586,994"
Licensed drivers,Connecticut,2018,"2,605,612"
Licensed drivers,Connecticut,2021,"2,606,396"
Licensed drivers,Connecticut,2019,"2,608,061"
Licensed drivers,Connecticut,2016,"2,611,007"
Licensed drivers,Connecticut,2022,"2,628,775"
Licensed drivers,Connecticut,2023,"2,632,273"
Licensed drivers,Connecticut,2010,"2,934,576"
Licensed drivers,Delaware,2010,"695,036"
Licensed drivers,Delaware,2015,"742,524"
Licensed drivers,Delaware,2016,"756,328"
Licensed drivers,Delaware,2017,"770,512"
Licensed drivers,Delaware,2018,"786,504"
Licensed drivers,Delaware,2019,"812,529"
Licensed drivers,Delaware,2020,"829,226"
Licensed drivers,Delaware,2021,"848,504"
Licensed drivers,Delaware,2022,"862,122"
Licensed drivers,Delaware,2023,"886,022"
Licensed drivers,District of Columbia,2010,"384,940"
Licensed drivers,District of Columbia,2015,"455,602"
Licensed drivers,District of Columbia,2016,"489,831"
Licensed drivers,District of Columbia,2021,"510,985"
Licensed drivers,District of Columbia,2022,"510,985"
Licensed drivers,District of Columbia,2020,"520,865"
Licensed drivers,District of Columbia,2017,"521,056"
Licensed drivers,District of Columbia,2023,"521,227"
Licensed drivers,District of Columbia,2018,"527,731"
Licensed drivers,District of Columbia,2019,"535,579"
Licensed drivers,Florida,2010,"13,949,726"
Licensed drivers,Florida,2015,"14,262,715"
Licensed drivers,Florida,2016,"14,675,160"
Licensed drivers,Florida,2017,"15,076,358"
Licensed drivers,Florida,2018,"15,368,695"
Licensed drivers,Florida,2019,"15,560,628"
Licensed drivers,Florida,2020,"15,715,373"
Licensed drivers,Florida,2021,"16,144,302"
Licensed drivers,Florida,2022,"16,495,556"
Licensed drivers,Florida,2023,"17,018,351"
Licensed drivers,Georgia,2010,"6,507,888"
Licensed drivers,Georgia,2015,"6,906,191"
Licensed drivers,Georgia,2016,"6,975,900"
Licensed drivers,Georgia,2017,"7,060,344"
Licensed drivers,Georgia,2018,"7,168,733"
Licensed drivers,Georgia,2019,"7,261,266"
Licensed drivers,Georgia,2022,"7,360,699"
Licensed drivers,Georgia,2020,"7,521,750"
Licensed drivers,Georgia,2021,"7,663,847"
Licensed drivers,Georgia,2023,"7,691,537"
Licensed drivers,Hawaii,2010,"909,407"
Licensed drivers,Hawaii,2015,"909,797"
Licensed drivers,Hawaii,2021,"917,464"
Licensed drivers,Hawaii,2020,"921,547"
Licensed drivers,Hawaii,2016,"931,703"
Licensed drivers,Hawaii,2022,"937,076"
Licensed drivers,Hawaii,2019,"943,173"
Licensed drivers,Hawaii,2023,"943,671"
Licensed drivers,Hawaii,2018,"948,417"
Licensed drivers,Hawaii,2017,"951,008"
Licensed drivers,Idaho,2010,"1,069,542"
Licensed drivers,Idaho,2015,"1,135,009"
Licensed drivers,Idaho,2016,"1,160,922"
Licensed drivers,Idaho,2017,"1,190,367"
Licensed drivers,Idaho,2018,"1,252,535"
Licensed drivers,Idaho,2019,"1,252,535"
Licensed drivers,Idaho,2020,"1,285,331"
Licensed drivers,Idaho,2021,"1,343,453"
Licensed drivers,Idaho,2022,"1,392,644"
Licensed drivers,Idaho,2023,"1,398,007"
Licensed drivers,Illinois,2020,"8,225,298"
Licensed drivers,Illinois,2021,"8,364,843"
Licensed drivers,Illinois,2010,"8,373,969"
Licensed drivers,Illinois,2015,"8,462,193"
Licensed drivers,Illinois,2022,"8,509,418"
Licensed drivers,Illinois,2016,"8,514,644"
Licensed drivers,Illinois,2017,"8,529,404"
Licensed drivers,Illinois,2019,"8,546,932"
Licensed drivers,Illinois,2023,"8,631,485"
Licensed drivers,Illinois,2018,"8,714,788"
Licensed drivers,Indiana,2015,"4,467,848"
Licensed drivers,Indiana,2020,"4,532,708"
Licensed drivers,Indiana,2016,"4,553,259"
Licensed drivers,Indiana,2017,"4,553,584"
Licensed drivers,Indiana,2018,"4,589,405"
Licensed drivers,Indiana,2019,"4,589,405"
Licensed drivers,Indiana,2021,"4,636,114"
Licensed drivers,Indiana,2022,"4,653,808"
Licensed drivers,Indiana,2023,"4,720,185"
Licensed drivers,Indiana,2010,"5,550,469"
Licensed drivers,Iowa,2010,"2,166,759"
Licensed drivers,Iowa,2015,"2,224,130"
Licensed drivers,Iowa,2016,"2,245,640"
Licensed drivers,Iowa,2017,"2,246,829"
Licensed drivers,Iowa,2018,"2,260,271"
Licensed drivers,Iowa,2020,"2,268,916"
Licensed drivers,Iowa,2019,"2,274,431"
Licensed drivers,Iowa,2021,"2,345,355"
Licensed drivers,Iowa,2022,"2,354,046"
Licensed drivers,Iowa,2023,"2,379,791"
Licensed drivers,Kansas,2020,"2,004,302"
Licensed drivers,Kansas,2023,"2,024,483"
Licensed drivers,Kansas,2015,"2,028,657"
Licensed drivers,Kansas,2017,"2,029,869"
Licensed drivers,Kansas,2016,"2,030,025"
Licensed drivers,Kansas,2010,"2,033,092"
Licensed drivers,Kansas,2022,"2,052,073"
Licensed drivers,Kansas,2021,"2,089,707"
Licensed drivers,Kansas,2018,"2,149,430"
Licensed drivers,Kansas,2019,"2,154,260"
Licensed drivers,Kentucky,2020,"2,905,632"
Licensed drivers,Kentucky,2010,"2,950,191"
Licensed drivers,Kentucky,2021,"2,980,331"
Licensed drivers,Kentucky,2022,"2,993,550"
Licensed drivers,Kentucky,2023,"3,001,191"
Licensed drivers,Kentucky,2017,"3,019,008"
Licensed drivers,Kentucky,2015,"3,021,266"
Licensed drivers,Kentucky,2019,"3,030,329"
Licensed drivers,Kentucky,2016,"3,031,447"
Licensed drivers,Kentucky,2018,"3,032,530"
Licensed drivers,Louisiana,2010,"3,133,631"
Licensed drivers,Louisiana,2015,"3,357,091"
Licensed drivers,Louisiana,2016,"3,395,095"
Licensed drivers,Louisiana,2022,"3,401,947"
Licensed drivers,Louisiana,2023,"3,404,603"
Licensed drivers,Louisiana,2020,"3,416,648"
Licensed drivers,Louisiana,2018,"3,425,435"
Licensed drivers,Louisiana,2017,"3,425,656"
Licensed drivers,Louisiana,2019,"3,435,168"
Licensed drivers,Louisiana,2021,"3,437,733"
Licensed drivers,Maine,2010,"1,019,738"
Licensed drivers,Maine,2015,"1,019,879"
Licensed drivers,Maine,2016,"1,021,332"
Licensed drivers,Maine,2017,"1,032,703"
Licensed drivers,Maine,2018,"1,040,582"
Licensed drivers,Maine,2019,"1,046,129"
Licensed drivers,Maine,2020,"1,047,893"
Licensed drivers,Maine,2021,"1,056,535"
Licensed drivers,Maine,2022,"1,060,461"
Licensed drivers,Maine,2023,"1,065,361"
Licensed drivers,Maryland,2010,"3,918,305"
Licensed drivers,Maryland,2015,"4,185,752"
Licensed drivers,Maryland,2016,"4,264,875"
Licensed drivers,Maryland,2017,"4,329,503"
Licensed drivers,Maryland,2023,"4,331,165"
Licensed drivers,Maryland,2022,"4,398,839"
Licensed drivers,Maryland,2018,"4,407,973"
Licensed drivers,Maryland,2021,"4,439,757"
Licensed drivers,Maryland,2020,"4,454,266"
Licensed drivers,Maryland,2019,"4,463,862"
Licensed drivers,Massachusetts,2010,"4,592,500"
Licensed drivers,Massachusetts,2023,"4,867,225"
Licensed drivers,Massachusetts,2022,"4,889,069"
Licensed drivers,Massachusetts,2021,"4,899,931"
Licensed drivers,Massachusetts,2017,"4,935,176"
Licensed drivers,Massachusetts,2018,"4,935,176"
Licensed drivers,Massachusetts,2020,"4,940,373"
Licensed drivers,Massachusetts,2019,"4,950,056"
Licensed drivers,Massachusetts,2015,"5,040,662"
Licensed drivers,Massachusetts,2016,"5,040,662"
Licensed drivers,Michigan,2020,"7,026,650"
Licensed drivers,Michigan,2016,"7,074,674"
Licensed drivers,Michigan,2010,"7,083,107"
Licensed drivers,Michigan,2017,"7,095,778"
Licensed drivers,Michigan,2015,"7,104,484"
Licensed drivers,Michigan,2019,"7,141,494"
Licensed drivers,Michigan,2018,"7,153,645"
Licensed drivers,Michigan,2023,"7,715,581"
Licensed drivers,Michigan,2022,"7,776,994"
Licensed drivers,Michigan,2021,"7,982,471"
Licensed drivers,Minnesota,2010,"3,281,463"
Licensed drivers,Minnesota,2015,"3,351,430"
Licensed drivers,Minnesota,2016,"3,377,910"
Licensed drivers,Minnesota,2018,"3,391,057"
Licensed drivers,Minnesota,2019,"3,391,057"
Licensed drivers,Minnesota,2017,"3,394,815"
Licensed drivers,Minnesota,2020,"4,090,264"
Licensed drivers,Minnesota,2022,"4,117,786"
Licensed drivers,Minnesota,2021,"4,143,272"
Licensed drivers,Minnesota,2023,"4,152,710"
Licensed drivers,Mississippi,2010,"1,928,487"
Licensed drivers,Mississippi,2015,"1,988,396"
Licensed drivers,Mississippi,2020,"2,017,111"
Licensed drivers,Mississippi,2016,"2,018,862"
Licensed drivers,Mississippi,2021,"2,032,775"
Licensed drivers,Mississippi,2022,"2,047,069"
Licensed drivers,Mississippi,2017,"2,053,924"
Licensed drivers,Mississippi,2018,"2,058,036"
Licensed drivers,Mississippi,2019,"2,058,036"
Licensed drivers,Mississippi,2023,"2,071,414"
Licensed drivers,Missouri,2015,"4,213,302"
Licensed drivers,Missouri,2010,"4,246,249"
Licensed drivers,Missouri,2016,"4,249,579"
Licensed drivers,Missouri,2020,"4,259,672"
Licensed drivers,Missouri,2018,"4,272,960"
Licensed drivers,Missouri,2019,"4,274,389"
Licensed drivers,Missouri,2017,"4,274,784"
Licensed drivers,Missouri,2021,"4,275,228"
Licensed drivers,Missouri,2022,"4,290,391"
Licensed drivers,Missouri,2023,"4,308,768"
Licensed drivers,Montana,2010,"743,611"
Licensed drivers,Montana,2015,"781,427"
Licensed drivers,Montana,2016,"797,145"
Licensed drivers,Montana,2018,"806,204"
Licensed drivers,Montana,2017,"807,259"
Licensed drivers,Montana,2019,"811,851"
Licensed drivers,Montana,2020,"826,754"
Licensed drivers,Montana,2021,"856,696"
Licensed drivers,Montana,2022,"870,882"
Licensed drivers,Montana,2023,"878,798"
Licensed drivers,Nebraska,2010,"1,351,516"
Licensed drivers,Nebraska,2015,"1,394,301"
Licensed drivers,Nebraska,2016,"1,404,479"
Licensed drivers,Nebraska,2017,"1,404,479"
Licensed drivers,Nebraska,2018,"1,420,317"
Licensed drivers,Nebraska,2019,"1,430,818"
Licensed drivers,Nebraska,2020,"1,438,821"
Licensed drivers,Nebraska,2021,"1,438,842"
Licensed drivers,Nebraska,2022,"1,449,818"
Licensed drivers,Nebraska,2023,"1,455,283"
Licensed drivers,Nevada,2010,"1,691,318"
Licensed drivers,Nevada,2015,"1,835,511"
Licensed drivers,Nevada,2016,"1,872,376"
Licensed drivers,Nevada,2017,"1,918,305"
Licensed drivers,Nevada,2018,"1,983,453"
Licensed drivers,Nevada,2019,"2,054,421"
Licensed drivers,Nevada,2020,"2,056,394"
Licensed drivers,Nevada,2021,"2,150,707"
Licensed drivers,Nevada,2022,"2,210,689"
Licensed drivers,Nevada,2023,"2,256,437"
Licensed drivers,New Hampshire,2010,"1,037,083"
Licensed drivers,New Hampshire,2020,"1,060,381"
Licensed drivers,New Hampshire,2015,"1,074,766"
Licensed drivers,New Hampshire,2023,"1,090,706"
